Actions,WIID,Description,Type,Status,Date
,104029856,Calculate Client Security Hash,WI5,Open,2017-02-11
,104029900,Research Client Check Copy,WI2,Open,2020-07-26
,104029868,Generate Yearly Report for Vendor,WI4,Open,2019-04-23
,104029896,Research Client Check Copy,WI2,Open,2017-12-05
,104029955,Verify Account Position,WI1,Open,2022-06-19
,104029882,Process Vendor Invoice,WI3,Open,2018-09-02
,104029902,Research Client Check Copy,WI2,Open,2022-02-08
,104029895,Research Client Check Copy,WI2,Open,2020-11-21
,104029922,Research Client Check Copy,WI2,Open,2021-08-22
,104029901,Research Client Check Copy,WI2,Open,2017-06-04
,104029877,Generate Yearly Report for Vendor,WI4,Open,2018-05-09
,104029951,Verify Account Position,WI1,Open,2018-01-22
,104029930,Verify Account Position,WI1,Open,2023-05-16
,104029867,Calculate Client Security Hash,WI5,Open,2017-09-22
,104029936,Verify Account Position,WI1,Open,2023-05-29
,104029879,Process Vendor Invoice,WI3,Open,2022-08-27
,104029916,Research Client Check Copy,WI2,Open,2021-02-06
,104029861,Calculate Client Security Hash,WI5,Open,2024-02-25
,104029898,Research Client Check Copy,WI2,Open,2024-06-09
,104029907,Research Client Check Copy,WI2,Open,2017-09-07
,104029956,Verify Account Position,WI1,Open,2018-09-01
,104029904,Research Client Check Copy,WI2,Open,2021-09-20
,104029913,Research Client Check Copy,WI2,Open,2019-02-04
,104029909,Research Client Check Copy,WI2,Open,2021-06-05
,104029903,Research Client Check Copy,WI2,Open,2024-10-12
,104029858,Calculate Client Security Hash,WI5,Open,2024-02-06
,104029887,Research Client Check Copy,WI2,Open,2020-07-21
,104029954,Verify Account Position,WI1,Open,2022-11-11
,104029874,Generate Yearly Report for Vendor,WI4,Open,2021-04-18
,104029872,Generate Yearly Report for Vendor,WI4,Open,2018-03-03
,104029957,Verify Account Position,WI1,Open,2020-09-21
,104029884,Research Client Check Copy,WI2,Open,2023-09-26
,104029888,Research Client Check Copy,WI2,Open,2018-12-08
,104029941,Verify Account Position,WI1,Open,2024-07-01
,104029894,Research Client Check Copy,WI2,Open,2024-09-21
,104029944,Verify Account Position,WI1,Open,2022-12-05
,104029854,Calculate Client Security Hash,WI5,Open,2017-11-15
,104029914,Research Client Check Copy,WI2,Open,2019-04-13
,104029947,Verify Account Position,WI1,Open,2017-07-09
,104029919,Research Client Check Copy,WI2,Open,2020-09-02
,104029942,Verify Account Position,WI1,Open,2023-06-07
,104029886,Research Client Check Copy,WI2,Open,2018-11-26
,104029885,Research Client Check Copy,WI2,Open,2021-04-22
,104029906,Research Client Check Copy,WI2,Open,2019-01-26
,104029865,Calculate Client Security Hash,WI5,Open,2022-10-20
,104029911,Research Client Check Copy,WI2,Open,2022-01-07
,104029870,Generate Yearly Report for Vendor,WI4,Open,2022-09-24
